Public Introduction,3:48
Finding and Using the Course Resources,12:48
Site tools and features,8:35
AWS Exams,17:32
Scenario - Animals4life,13:40
Connect with other students and your instructor,4:06
[Updated 202010] AWS Accounts - The basics,11:33
[Updated 202010] [DEMO] Creating an AWS Account,12:57
Multi-factor Authentication (MFA),8:25
[Updated 202010] [DEMO] Securing An AWS Account,8:05
[Updated 202010] [DEMO] Creating Billing Alerts,14:05
[Updated 202010] [DOITYOURSELF] Creating the Production Account,4:52
[Updated 202010] Identity and Access Management (IAM) Basics,13:01
[Updated 202010] [DEMO] Adding an IAM Admin User - PART1 - GENERAL ACCOUNT,11:45
[Updated 202010] [DEMO] Adding an IAM Admin User - PART2 - PRODUCTION ACCOUNT,6:33
[Updated 202010] IAM Access Keys,7:32
[Updated 202010] [DEMO] Creating Access keys and setting up AWS CLI v2 tools,17:24
Cloud Computing - what is it...really,15:35
Public vs Private vs Multi vs Hybrid Cloud,8:51
Cloud Service Models,11:32
YAML101 - YAML AINT MARKUP LANGUAGE,9:55
JSON101 - JavaScript Object Notation,7:32
Network Starter Pack - 0 - INTRO,5:00
Network Starter Pack - 1 - PHYSICAL,10:02
Network Starter Pack - 2 - Data Link - Part 1,8:47
Network Starter Pack - 2 - Data Link - Part 2,14:24
Network Starter Pack - 3 - Network - Part 1,12:12
Network Starter Pack - 3 - Network - Part 2,19:13
Network Starter Pack - 3 - Network - Part 3,15:21
Network Starter Pack - 4 - Transport - Part 1,15:39
Network Starter Pack - 4 - Transport - Part 2,17:08
Network Starter Pack - EXTRA - Network Address Translation - PART1,11:00
Network Starter Pack - EXTRA - Network Address Translation - PART2,9:38
Network Starter Pack - EXTRA - Subnetting - PART1,14:35
Network Starter Pack - EXTRA - Subnetting - PART2,10:33
Network Starter Pack - EXTRA - Distributed Denial of Service (DDOS),14:38
Secure Sockets Layer (SSL) and Transport Layer Security (TLS),11:41
AWS Public vs Private Services,8:48
[UPDATE202010] AWS Global Infrastructure,14:53
[UPDATE202010] AWS Default Virtual Private Cloud (VPC),15:19
[UPDATE202010] Elastic Compute Cloud (EC2) Basics,14:46
[UPDATE202011] [DEMO] My First EC2 Instance,18:24
Simple Storage Service (S3) Basics,15:58
[UPDATE202011] [DEMO] My First S3 Bucket,18:17
CloudFormation (CFN) Basics,12:28
[UPDATE202010] [DEMO] Simple Automation With CFN,17:12
CloudWatch (CW) Basics,13:45
[UPDATED202102] [Demo] Simple Monitoring with Cloudwatch,14:53
Shared Responsibility Model,6:24
High-Availability vs Fault-Tolerance vs Disaster Recovery,17:21
Domain Name System (DNS) Fundamentals - PART1,11:40
Domain Name System (DNS) Fundamentals - PART2,10:19
Route53 (R53) Fundamentals,6:29
[DEMO] Registering a Domain,8:50
DNS Record Types,13:25
IAM Identity Policies,15:54
IAM Users and ARNs,14:45
[DEMO] Simple Identity Permissions in AWS,19:09
IAM Groups,8:29
[UPDATE202101] [DEMO] Permissions control using IAM Groups,8:51
IAM Roles - The Tech,8:42
When to use IAM Roles,15:45
[UPDATE202010] AWS Organizations,12:56
[UPDATE202010] [DEMO] AWS Organizations - PART1,7:16
[UPDATE202010] [DEMO] AWS Organizations - PART2,14:21
[UPDATE202010] Service Control Policies (SCPs),12:43
[UPDATE202010] [DEMO] Using Service Control Policies,16:22
CloudWatch Logs,7:16
CloudTrail,13:35
[UPDATED][DEMO] Implementing an Organizational Trail,18:02
S3 Security (Resource Policies & ACLs),18:29
S3 Static Hosting,10:36
[UPDATE20201101] [Demo] Creating a static website with S3 - PART1,10:00
[UPDATE20201101] [Demo] Creating a static website with S3 - PART2,10:30
Object Versioning & MFA Delete,8:12
[UPDATE20201101] [DEMO] - S3 Versioning,15:48
S3 Performance Optimization,11:42
[DEMO] - S3 Performance,5:40
Encryption 101 - Part 1,14:13
Encryption 101 - Part 2,7:10
Key Management Service (KMS),18:30
[DEMO] KMS - Encrypting the battleplans with KMS,13:58
Object Encryption - PART1,10:26
Object Encryption - PART2,11:45
[UPDATE202101] [DEMO] Object Encryption,18:32
[NEW] S3 Object Storage Classes - PART1,9:23
[UPDATE20201110] S3 Object Storage Classes - PART2,10:02
[NEW] S3 Lifecycle Configuration,13:05
S3 Replication,14:05
[UPDATE202101] [DEMO] Cross-Region Replication of an S3 Static Website,19:20
S3 PreSigned URLs,12:17
[UPDATE202101] [DEMO] Creating and using PresignedURLs,19:12
S3 Select and Glacier Select,5:32
S3 Events,4:32
S3 Access Logs,3:05
Networking Refresher - PART1,14:42
Networking Refresher - PART2,11:19
VPC Sizing and Structure - PART1,11:48
VPC Sizing and Structure - PART2,11:16
Custom VPCs,14:31
VPC Subnets,10:42
[UPDATE202011][DEMO] Implement multi-tier VPC subnets,20:34
"VPC Routing, Internet Gateway & Bastion Hosts",17:36
[UPDATE202011][DEMO] Configuring A4l public subnets and Jumpbox - PART1,14:09
[UPDATE202011][DEMO] Configuring A4l public subnets and Jumpbox - PART2,12:24
Network Access Control Lists (NACLs),13:13
Security Groups (SG),10:04
Network Address Translation (NAT) & NAT Gateway - PART1,13:46
Network Address Translation (NAT) & NAT Gateway - PART2,11:08
[UPDATE202011][DEMO] [SETUP] Implementing private internet access using NAT Gateways - PART1,20:51
[UPDATE202011][DEMO] Implementing private internet access using NAT Gateways - PART2,14:30
Virtualization 101,12:27
EC2 Architecture and Resilience,12:36
EC2 Instance Types - PART1,11:52
EC2 Instance Types - PART2,8:13
[DEMO] EC2 SSH vs EC2 Instance Connect,18:41
Storage Refresher,14:16
[UPDATE202101] Elastic Block Store (EBS) Service Architecture,8:43
[UPDATE202101] EBS Volume Types - General Purpose,9:23
[UPDATE202103] EBS Volume Types - Provisioned IOPS,6:15
[UPDATE202101] EBS Volume Types - HDD-Based,4:32
[UPDATE202101] Instance Store Volumes - Architecture,9:00
[UPDATE202102] Choosing between the EC2 Instance Store and EBS,8:49
"Snapshots, Restore & Fast Snapshot Restore (FSR)",10:55
"[DEMO] EBS, Snapshots and Instance Store Volumes - PART1",16:36
"[DEMO] EBS, Snapshots and Instance Store Volumes - PART2",15:49
[UPDATE202102] [Theory] & [DEMO] EBS Encryption,16:41
"Network Interfaces, Instance IPs and DNS",15:58
[UPDATE202101] [DEMO] Manual Install of Wordpress on EC2 - PART1,14:43
[UPDATE202101] [DEMO] Manual Install of Wordpress on EC2 - PART2,12:36
Amazon Machine Images (AMI),13:58
[UPDATE202101] [DEMO] Creating an Animals4life AMI - PART1,11:03
[UPDATE202101] [DEMO] Creating an Animals4life AMI - PART2,11:12
Instance Billing Models,13:25
[UPDATE202101] Instance Status Checks & Auto Recovery,8:01
"[DEMO] Shutdown, Terminate & Termination Protection",5:40
Horizontal & Vertical Scaling,11:23
[UPDATE202101] Instance Metadata [THEORY & DEMO],15:44
Introduction to Containers,17:13
[DEMO] Creating 'container of cats' Docker Image,13:46
ECS - Concepts,10:25
ECS - Cluster Mode,13:09
[DEMO] - Deploying 'container of cats' using Fargate,16:30
Bootstrapping EC2 using User Data,10:34
[DEMO] Bootstrapping Wordpress Directly and with CFN,19:20
Enhanced Bootstrapping with CFN-INIT,11:52
[DEMO] CFN-INIT and CFN Creation Policies,13:50
EC2 Instance Roles & Profile,4:43
[202101UPDATE] [DEMO] Providing permissions and credentials to EC2 using Instance Roles,13:45
SSM Parameter Store,6:16
[202102UPDATE] [DEMO] Parameter Store,17:00
System and Application Logging on EC2,6:15
[202101UPDATE] [DEMO] Logging and Metrics with CW Agent-PART1,12:12
[202101UPDATE] [DEMO] Logging and Metrics with CW Agent-PART2,9:18
EC2 Placement Groups - PART1,11:05
EC2 Placement Groups - PART2,11:02
Dedicated Hosts,8:56
Enhanced Networking & EBS Optimized,6:57
[202012UPDATE] R53 Public Hosted Zones,6:28
[202012UPDATE] R53 Private Hosted Zones,5:10
[202012UPDATE] CNAME vs R53 Alias,5:19
[202012UPDATE] Simple Routing,2:17
[202012UPDATE] R53 Health Checks,12:41
[202012UPDATE] Failover Routing,1:53
[202102UPDATE] [DEMO] Using R53 and Failover Routing-PART1,16:31
[202102UPDATE] [DEMO] Using R53 and Failover Routing-PART2,6:28
[202012UPDATE] Multi Value Routing,2:32
